OR4F5	0
AL627309.1	4
OR4F29	2
OR4F16	1
AL669831.1	1
AL645608.2	0
SAMD11	3
AL645608.1	0
NOC2L	3046
KLHL17	287
PLEKHN1	2
C1orf170	2
HES4	7
ISG15	36
AGRN	1645
RNF223	0
C1orf159	654
TTLL10	10
TNFRSF18	2
TNFRSF4	0
SDF4	7284
B3GALT6	1824
FAM132A	8
UBE2J2	2961
SCNN1D	33
ACAP3	2560
PUSL1	100
CPSF3L	6123
GLTPD1	845
TAS1R3	7
DVL1	966
MXRA8	143
AURKAIP1	2252
CCNL2	9148
RP4-758J18.2	1436
MRPL20	5142
ANKRD65	69
TMEM88B	1
VWA1	140
ATAD3C	81
ATAD3B	916
ATAD3A	728
TMEM240	47
SSU72	27192
AL645728.1	31
C1orf233	589
MIB2	429
MMP23B	3
CDK11B	3284
SLC35E2B	12906
CDK11A	2217
SLC35E2	3981
NADK	4631
GNB1	98780
CALML6	10
TMEM52	9
C1orf222	88
GABRD	3
PRKCZ	392
C1orf86	721
AL590822.2	0
AL590822.1	1
SKI	9270
MORN1	870
AL589739.1	0
RER1	17264
PEX10	1384
PLCH2	28
PANK4	3452
HES5	14
TNFRSF14	33117
FAM213B	4262
MMEL1	89
TTC34	48
ACTRT2	0
PRDM16	88
ARHGEF16	10
MEGF6	59
TPRG1L	10067
WRAP73	1060
TP73	116
CCDC27	29
SMIM1	12
LRRC47	5634
CEP104	7795
DFFB	1279
C1orf174	1368
AJAP1	42
NPHP4	1662
KCNAB2	90574
AL035406.1	0
CHD5	80
RPL22	32915
RNF207	1319
ICMT	23920
HES3	5
GPR153	2413
ACOT7	7791
HES2	15
ESPN	36
TNFRSF25	46
PLEKHG5	383
NOL9	2587
TAS1R1	23
ZBTB48	1453
KLHL21	11416
PHF13	5388
THAP3	912
DNAJC11	10110
CAMTA1	6634
VAMP3	29449
PER3	3258
UTS2	17
TNFRSF9	9
PARK7	20506
ERRFI1	1357
SLC45A1	33
RERE	18073
ENO1	80468
CA6	9
SLC2A7	20
SLC2A5	69
GPR157	744
H6PD	8489
SPSB1	19009
SLC25A33	1602
TMEM201	1984
PIK3CD	15548
C1orf200	0
CLSTN1	66498
CTNNBIP1	5116
LZIC	8499
NMNAT1	3441
RBP7	204
UBE4B	25536
KIF1B	18529
PGD	31953
APITD1	0
APITD1-CORT	0
CORT	0
DFFA	7796
PEX14	1762
CASZ1	48
C1orf127	197
TARDBP	17342
MASP2	889
SRM	5321
EXOSC10	16218
MTOR	24699
ANGPTL7	0
UBIAD1	2365
PTCHD2	40
FBXO2	1894
FBXO44	3930
FBXO6	767
MAD2L2	3213
DRAXIN	54
AGTRAP	2296
C1orf167	26
MTHFR	4070
CLCN6	10345
NPPA	366
NPPB	21
KIAA2013	3976
PLOD1	29222
MFN2	20332
MIIP	907
TNFRSF8	91
TNFRSF1B	41
VPS13D	15920
DHRS3	327
AADACL4	10
AADACL3	5
C1orf158	11
PRAMEF12	1
PRAMEF1	0
PRAMEF11	3
HNRNPCL1	42
PRAMEF2	0
PRAMEF4	1
PRAMEF10	1
PRAMEF7	1
PRAMEF6	3
PRAMEF22	0
WI2-3308P17.2	0
PRAMEF26	0
PRAMEF3	0
PRAMEF5	0
PRAMEF8	0
PRAMEF9	0
PRAMEF13	1
PRAMEF18	0
PRAMEF16	1
PRAMEF21	1
PRAMEF15	0
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	1
LRRC38	24
PDPN	24
PRDM2	13393
KAZN	10926
TMEM51	4205
C1orf195	0
FHAD1	189
EFHD2	2140
CTRC	15
CELA2A	28
CELA2B	185
CASP9	2127
DNAJC16	4859
AGMAT	0
DDI2	11002
RSC1A1	0
PLEKHM2	14016
SLC25A34	100
TMEM82	5
FBLIM1	1789
SPEN	12992
ZBTB17	1893
C1orf64	6
HSPB7	32
CLCNKA	2
CLCNKB	5
FAM131C	4
EPHA2	436
ARHGEF19	461
C1orf134	127
RSG1	167
FBXO42	5560
SZRD1	427
SPATA21	61
NECAP2	16422
AL355149.2	0
NBPF1	13376
AL137798.1	0
AL021920.2	1
CROCC	1869
MFAP2	4653
ATP13A2	4192
SDHB	11635
PADI2	807
PADI1	53
PADI3	5
PADI4	27
AC004824.2	0
RCC2	16695
ARHGEF10L	3442
ACTL8	61
IGSF21	117
KLHDC7A	4
PAX7	40
TAS1R2	5
RP13-279N23.2	9
ALDH4A1	0
IFFO2	45
UBR4	53781
EMC1	13435
MRTO4	1862
AKR7L	71
AKR7A3	41
AKR7A2	6075
PQLC2	1740
CAPZB	42434
MINOS1-NBL1	30
MINOS1	0
NBL1	6632
HTR6	39
TMCO4	2216
RNF186	1
OTUD3	2648
PLA2G2E	2
PLA2G2A	3
PLA2G5	11
PLA2G2D	2
PLA2G2F	7
PLA2G2C	1
UBXN10	34
VWA5B1	34
CAMK2N1	3067
MUL1	7018
FAM43B	5
CDA	23
PINK1	15504
DDOST	29113
KIF17	122
SH2D5	17
HP1BP3	46311
EIF4G3	25322
ECE1	3880
NBPF3	4942
ALPL	131
RAP1GAP	6511
USP48	37804
LDLRAD2	144
HSPG2	10732
CELA3B	26
CELA3A	17
CDC42	17658
