WASH7P	15832
DDX11L1	59
MIR1302-11	5
FAM138A	0
OR4G4P	1
OR4G11P	0
OR4F5	0
RP11-34P13.7	143
RP11-34P13.8	55
RP11-34P13.14	81
RP11-34P13.16	105
RP11-34P13.15	195
CICP27	38
AL627309.1	1215
RP11-34P13.13	637
RNU6-1100P	0
RP11-34P13.9	1
AP006222.2	236
AP006222.1	172
RP4-669L17.10	2108
RP4-669L17.8	442
CICP7	35
RP4-669L17.4	3
OR4F29	0
WBP1LP7	1
RP4-669L17.2	7
AL732372.1	0
RP5-857K21.15	11
RP4-669L17.1	22
RP5-857K21.2	5
RP5-857K21.3	0
RP5-857K21.1	8
RP5-857K21.4	129129
hsa-mir-6723	57009
MTND1P23	1150
MTND2P28	25073
RP5-857K21.11	874
RP5-857K21.7	498
RP5-857K21.5	0
MTATP6P1	41958
MTATP8P1	740
WBP1LP6	2
OR4F16	0
CICP3	42
RP11-206L10.1	798
RP11-206L10.3	587
RP11-206L10.5	205
RP11-206L10.4	5
RNU6-1199P	0
RP11-206L10.2	849
RP11-206L10.9	2559
RP11-206L10.8	566
AL669831.1	24
RP11-206L10.10	840
FAM87B	164
LINC00115	474
RP11-206L10.11	2165
TUBB8P11	3
FAM41C	35
AL645608.2	0
RP11-54O7.1	18
RP11-54O7.2	3
RP11-54O7.16	27
RP11-54O7.3	331
AL645608.1	126
SAMD11	1288
NOC2L	4784
KLHL17	2085
PLEKHN1	180
C1orf170	25
HES4	202
RP11-54O7.17	26
ISG15	2002
RP11-54O7.11	0
RP11-54O7.10	3
AGRN	3481
RP11-465B22.3	465
RP11-54O7.18	0
RP11-54O7.14	471
RNF223	4
C1orf159	2308
RP11-465B22.5	14
TTLL10-AS1	23
TTLL10	53
MIR429	0
RP11-465B22.8	0
MIR200A	0
MIR200B	0
TNFRSF18	1041
TNFRSF4	1396
SDF4	14846
B3GALT6	1243
FAM132A	45
UBE2J2	13354
RP5-902P8.12	15
SCNN1D	432
RP5-902P8.10	129
ACAP3	7382
CPSF3L	28202
PUSL1	2006
RP5-890O3.9	855
GLTPD1	2305
TAS1R3	249
DVL1	2165
MXRA8	2653
AURKAIP1	9270
RP5-890O3.3	5
CCNL2	44022
RP4-758J18.2	7257
MRPL20	11395
RN7SL657P	128
RP4-758J18.13	651
RP4-758J18.7	252
ANKRD65	1002
RP4-758J18.10	384
TMEM88B	5
VWA1	2757
ATAD3C	727
ATAD3B	7078
ATAD3A	5517
SSU72	15215
TMEM240	102
AL645728.2	1617
AL645728.3	0
AL645728.1	40
C1orf233	87
RP11-345P4.9	590
MIB2	12896
MMP23B	1231
CDK11B	14730
SLC35E2B	20540
RP11-345P4.10	4211
RP11-345P4.7	246
RP11-345P4.6	262
CDK11A	21218
MMP23A	384
RP1-283E3.8	23062
SLC35E2	9468
RP1-283E3.4	7747
NADK	33046
GNB1	69121
RP1-140A9.1	16
TMEM52	19
CALML6	92
C1orf222	43
RP11-547D24.1	1
GABRD	42
RP11-547D24.3	6
PRKCZ	6250
RP5-892K4.1	146
RP11-181G12.2	378
C1orf86	8107
AL590822.2	513
RP11-181G12.4	27
RP11-181G12.5	15
AL590822.1	34
SKI	5010
MORN1	2744
AL589739.1	4
RP4-713A8.1	4
RP4-740C4.6	1225
RP4-740C4.5	330
RP4-740C4.7	8
RP4-740C4.8	37
RP4-740C4.9	15
AL513477.1	144
RER1	25097
PEX10	4452
PLCH2	2224
RP3-395M20.2	20
RP3-395M20.3	33
PANK4	8171
HES5	7
RP3-395M20.12	302
RP3-395M20.8	4356
TNFRSF14	30214
RP3-395M20.7	111
FAM213B	2977
RP3-395M20.9	696
MMEL1	871
TTC34	244
RP13-436F16.1	8
RP11-740P5.2	0
RP11-740P5.3	0
ACTRT2	1
AL008733.1	1
LINC00982	58
PRDM16	323
RP1-163G9.2	0
RP11-22L13.1	3
ARHGEF16	37
RP11-168F9.2	0
MEGF6	5502
MIR551A	0
RP11-46F15.2	184
WRAP73	10701
TPRG1L	4513
TP73	8632
RP5-1092A11.5	1175
RP5-1092A11.2	153
TP73-AS1	5236
CCDC27	58
SMIM1	44
LRRC47	8329
RN7SL574P	22
RP1-286D6.5	516
CEP104	10474
DFFB	2439
C1orf174	4024
AL691523.1	52
RP13-15E13.1	120
RP13-614K11.2	0
RP13-614K11.1	11
RP11-374C13.1	6
RP5-1166F10.1	2
RP1-37J18.1	0
RP1-37J18.2	7
AJAP1	115
RP11-542C10.1	1
RP1-58B11.1	1
MIR4417	0
RP11-154H17.1	24
AL356693.1	0
MIR4689	0
NPHP4	3821
AL356261.1	1
KCNAB2	30681
AL035406.1	921
CHD5	116
RPL22	42444
RNF207	1639
RP1-120G22.11	20
ICMT	7670
LINC00337	51
GPR153	2136
HES3	3
ACOT7	2260
RP1-202O8.3	19
HES2	8
ESPN	416
MIR4252	0
RP1-202O8.2	8
TNFRSF25	6070
PLEKHG5	989
NOL9	4751
RP11-58A11.2	18
RNU6-731P	2
TAS1R1	21
ZBTB48	7227
KLHL21	2569
PHF13	2680
THAP3	6785
DNAJC11	12249
RP11-242F24.1	1
RP11-312B8.1	212
CAMTA1	7251
RP11-312B8.2	22
RP11-334N17.1	3
RNU1-8P	2
CAMTA1-IT1	0
RP3-453P22.2	2
RP4-549F15.1	0
RP11-338N10.1	0
RP11-338N10.2	4
RP11-338N10.3	19
RP3-467L1.6	61
VAMP3	7608
PER3	984
RP3-467L1.4	177
UTS2	232
TNFRSF9	3431
RP5-892F13.2	24
PARK7	20653
ERRFI1	1787
RP11-431K24.1	90
CTA-215D11.4	25
RP11-431K24.2	0
RP11-431K24.3	8
RNU1-7P	0
RP11-431K24.4	0
RN7SL729P	0
RNU6-991P	0
SLC45A1	99
RERE	39673
RP5-1115A15.1	852
RP5-1115A15.2	0
RP4-633I8.1	53
RP4-633I8.2	4
RP4-633I8.3	4
RP4-633I8.4	5
RP11-185B14.1	1
ENO1	61794
ENO1-AS1	40
ENO1-IT1	47
RNU6-304P	2
HMGN2P17	20
RP3-477M7.5	146
RP3-477M7.6	1
CA6	257
RN7SL451P	0
SLC2A7	22
SLC2A5	29290
GPR157	717
MIR34A	4
RP3-510D11.1	1054
RP3-510D11.2	943
H6PD	12358
Z98044.1	1
SPSB1	2849
RNA5SP40	0
RP13-392I16.1	2
SLC25A33	2097
RP13-15M17.1	104
TMEM201	2597
C1orf200	291
PIK3CD	54129
RP11-558F24.2	3
RP11-558F24.4	343
CLSTN1	37102
RP11-558F24.6	472
CTNNBIP1	1838
RP11-84A14.5	504
LZIC	4788
NMNAT1	1932
RP11-84A14.4	222
RN7SKP269	12
MIR5697	0
RP11-807G9.2	670
RBP7	213
AL590639.1	0
UBE4B	10052
RP11-496H15.2	1
PGAM1P11	6
RNU6-828P	1
KIF1B	2216
MIR1273D	0
RNU6-37P	0
RN7SL731P	15
RN7SL721P	0
PGD	11994
RP4-736L20.3	38
APITD1-CORT	1657
APITD1	1727
CORT	91
DFFA	9982
RP5-1113E3.3	948
PEX14	5423
RN7SL614P	6
RP4-734G22.3	1778
CASZ1	4484
RP11-340B24.3	0
C1orf127	85
AL713997.1	0
CFL1P6	14
TARDBP	38531
RP4-635E18.8	578
MASP2	1701
SRM	11148
EXOSC10	21805
RP4-635E18.7	3774
RP4-635E18.6	311
MTOR	21739
MTOR-AS1	698
RNU6-537P	0
ANGPTL7	10
RNU6-291P	0
RPL39P6	22
UBIAD1	4747
UBE2V2P3	618
RP11-149P14.1	2
PTCHD2	132
RP1-69M21.2	1
FBXO2	514
FBXO44	2717
FBXO6	2630
MAD2L2	8478
DRAXIN	34
AGTRAP	3321
C1orf167	6584
RP11-56N19.5	0
MTHFR	12140
CLCN6	9787
NPPA-AS1	3037
NPPA	245
NPPB	0
RP5-934G17.6	2919
RNU5E-1	3
RNU5E-4P	0
KIAA2013	6811
PLOD1	6863
MFN2	17497
RP5-1077B9.5	21
MIIP	16023
RN7SL649P	0
TNFRSF8	7809
RNU6-777P	0
RP11-426M1.2	0
TNFRSF1B	13126
MIR4632	71
RP5-1118D24.2	8
VPS13D	15209
SNORA59A	26
RP5-888M10.2	6
RNU6ATAC18P	3
DHRS3	1538
RP11-474O21.5	12
AADACL4	20
RP11-474O21.2	1
AADACL3	3
C1orf158	5
PRAMEF12	0
PRAMEF1	2
PRAMEF11	3
RP5-845O24.8	0
RP5-845O24.3	0
HNRNPCL1	204
PRAMEF2	0
PRAMEF4	1
PRAMEF10	0
PRAMEF7	0
RNU6-1072P	0
RP11-450I1.2	0
PRAMEF6	10
RP11-450I1.4	0
PRAMEF22	1
WI2-3308P17.2	0
PRAMEF23	0
RP13-221M14.6	1
PRAMEF25	1
RP13-221M14.2	0
RP13-221M14.3	2
RP13-221M14.4	1
HNRNPCP5	45
WI2-2994D6.1	0
PRAMEF26	0
PRAMEF3	5
PRAMEF5	0
RP11-248D7.2	0
RP11-219C24.8	0
PRAMEF8	0
RNU6-771P	0
RP11-219C24.6	0
PRAMEF9	0
RP11-219C24.10	0
PRAMEF13	0
PRAMEF18	0
PRAMEF16	0
PRAMEF21	0
XX-FW84067D5.1	0
XX-FW84067D5.2	0
PRAMEF15	1
PRAMEF14	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LRRC38	23
RP4-597A16.2	0
RP4-597A16.3	164
PDPN	1286
RNA5SP41	0
AL359771.1	0
CTA-520D8.2	9
PRDM2	28468
RNU6-1265P	0
RP11-344F13.1	0
RP4-704D23.1	1
KAZN	757
TBCAP2	10
TMEM51-AS1	119
TMEM51	1079
C1orf195	9
RP1-21O18.3	149
FHAD1	267
RP3-467K16.2	35
RP3-467K16.7	0
